idx,avg_valence,avg_arousal,avg_dominance,avg_time,assignments
43142,1.6666666666666667,4.333333333333333,4.333333333333333,21.926333333333332,3
55375,0.0,0.0,0.0,0.0,0
2522,0.0,0.0,0.0,0.0,0
44950,4.0,5.0,5.0,68.226,1
59256,0.0,0.0,0.0,0.0,0
8822,3.5,4.5,3.5,23.551,2
3300,0.0,0.0,0.0,0.0,0
51987,3.0,3.0,3.0,25.368,1
9021,2.0,3.0,3.0,68.349,1
62394,1.0,5.0,1.0,24.249,1
23920,0.0,0.0,0.0,0.0,0
33795,3.0,3.0,3.0,7.95,1
25735,0.0,0.0,0.0,0.0,0
6492,0.0,0.0,0.0,0.0,0
47573,5.0,4.0,5.0,15.395,1
13538,1.0,4.0,5.0,21.966,1
47368,3.0,3.0,5.0,548.922,1
234,0.0,0.0,0.0,0.0,0
32809,0.0,0.0,0.0,0.0,0
26405,3.0,1.0,1.0,35.925,1
12837,0.0,0.0,0.0,0.0,0
50581,0.0,0.0,0.0,0.0,0
58391,0.0,0.0,0.0,0.0,0
15924,0.0,0.0,0.0,0.0,0
65203,4.0,5.0,3.0,28.839,1
32583,3.0,3.0,3.0,43.409,1
19778,3.0,3.0,3.5,30.5555,2
27608,5.0,5.0,3.0,40.893,1
66520,0.0,0.0,0.0,0.0,0
35424,0.0,0.0,0.0,0.0,0
45345,0.0,0.0,0.0,0.0,0
64542,0.0,0.0,0.0,0.0,0
3932,0.0,0.0,0.0,0.0,0
3565,5.0,4.0,3.0,16.296,1
23658,0.0,0.0,0.0,0.0,0
66140,1.0,5.0,5.0,13.656,1
3104,0.0,0.0,0.0,0.0,0
7817,0.0,0.0,0.0,0.0,0
47117,2.5,3.5,3.0,116.768,2
54293,0.0,0.0,0.0,0.0,0
40506,1.0,3.0,5.0,32.863,1
59421,1.0,4.0,5.0,27.085,1
64644,0.0,0.0,0.0,0.0,0
44021,3.0,3.0,3.0,25.599,2
13020,4.0,4.0,2.0,35.076,1
4787,2.0,1.0,4.0,17.38,1
55090,0.0,0.0,0.0,0.0,0
11557,5.0,5.0,5.0,13.284,1
2125,1.0,3.0,4.0,21.983,1
9922,5.0,3.0,3.0,39.274,1
47931,0.0,0.0,0.0,0.0,0
56618,2.0,1.5,2.0,31.3305,2
47320,1.0,3.0,4.0,23.452,1
54216,0.0,0.0,0.0,0.0,0
37804,3.0,3.0,3.0,11.844,1
13827,0.0,0.0,0.0,0.0,0
18971,0.0,0.0,0.0,0.0,0
29860,3.0,3.0,3.0,5.376,1
23893,0.0,0.0,0.0,0.0,0
33820,0.0,0.0,0.0,0.0,0
62666,0.0,0.0,0.0,0.0,0
9108,2.0,5.0,5.0,147.215,1
22765,2.0,2.3333333333333335,3.3333333333333335,12.682333333333332,3
16051,3.0,1.0,1.0,27.175,1
54660,0.0,0.0,0.0,0.0,0
52604,2.0,3.0,1.0,39.8,1
10681,0.0,0.0,0.0,0.0,0
57895,0.0,0.0,0.0,0.0,0
30534,2.0,5.0,5.0,57.416,1
60662,0.0,0.0,0.0,0.0,0
64785,0.0,0.0,0.0,0.0,0
22839,1.6666666666666667,1.6666666666666667,4.666666666666667,44.589,3
36284,2.0,4.0,3.0,68.135,1
12500,0.0,0.0,0.0,0.0,0
29343,3.0,5.0,3.0,19.656,1
38702,0.0,0.0,0.0,0.0,0
14759,5.0,4.0,3.0,22.912,1
21743,1.5,2.0,4.0,15.2785,2
43082,0.0,0.0,0.0,0.0,0
61196,0.0,0.0,0.0,0.0,0
36896,0.0,0.0,0.0,0.0,0
16773,0.0,0.0,0.0,0.0,0
4083,2.0,3.0,4.0,28.59,1
30294,0.0,0.0,0.0,0.0,0
6684,0.0,0.0,0.0,0.0,0
63945,3.0,1.5,3.5,22.6935,2
48701,0.0,0.0,0.0,0.0,0
1274,0.0,0.0,0.0,0.0,0
8733,0.0,0.0,0.0,0.0,0
2562,3.0,3.0,3.0,4.831,1
61926,4.0,4.0,3.0,15.931,1
9650,0.0,0.0,0.0,0.0,0
60350,5.0,5.0,3.0,44.692,1
7279,3.6666666666666665,2.3333333333333335,2.3333333333333335,7.697666666666667,3
17839,0.0,0.0,0.0,0.0,0
66167,0.0,0.0,0.0,0.0,0
24944,0.0,0.0,0.0,0.0,0
31665,3.0,3.0,1.0,56.408,1
47916,2.0,5.0,5.0,15.878,1
51142,1.0,2.0,2.0,37.893,1
13707,3.0,3.0,3.0,22.2005,2
21006,0.0,0.0,0.0,0.0,0
35307,0.0,0.0,0.0,0.0,0
33597,2.0,2.0,3.0,35.411,1
14681,0.0,0.0,0.0,0.0,0
36071,4.0,5.0,3.0,14.184,1
26068,2.0,2.5,4.5,127.157,2
8628,1.0,4.0,5.0,19.224,1
56885,3.0,3.0,1.0,71.749,1
31175,0.0,0.0,0.0,0.0,0
24791,0.0,0.0,0.0,0.0,0
8601,3.0,3.0,2.0,334.803,1
5541,1.5,5.0,5.0,109.522,2
2488,0.0,0.0,0.0,0.0,0
53588,0.0,0.0,0.0,0.0,0
5753,0.0,0.0,0.0,0.0,0
11357,0.0,0.0,0.0,0.0,0
44396,2.0,4.0,3.0,51.717,1
63801,3.0,4.0,4.0,27.7275,2
37608,0.0,0.0,0.0,0.0,0
2904,0.0,0.0,0.0,0.0,0
60615,0.0,0.0,0.0,0.0,0
21147,0.0,0.0,0.0,0.0,0
33602,0.0,0.0,0.0,0.0,0
53918,0.0,0.0,0.0,0.0,0
48677,4.0,3.0,2.0,11.7285,2
57160,0.0,0.0,0.0,0.0,0
45161,0.0,0.0,0.0,0.0,0
37289,0.0,0.0,0.0,0.0,0
7398,2.0,3.0,4.0,12.93,1
31865,2.0,4.0,3.0,23.229,1
61895,0.0,0.0,0.0,0.0,0
63244,0.0,0.0,0.0,0.0,0
52395,0.0,0.0,0.0,0.0,0
26683,0.0,0.0,0.0,0.0,0
48467,0.0,0.0,0.0,0.0,0
48528,2.0,5.0,5.0,54.622,1
50979,0.0,0.0,0.0,0.0,0
49627,2.5,2.0,2.0,11.9865,2
11226,0.0,0.0,0.0,0.0,0
51333,0.0,0.0,0.0,0.0,0
20788,0.0,0.0,0.0,0.0,0
38889,0.0,0.0,0.0,0.0,0
66578,0.0,0.0,0.0,0.0,0
43458,0.0,0.0,0.0,0.0,0
933,0.0,0.0,0.0,0.0,0
31529,2.0,4.0,4.0,28.91,1
34697,1.0,5.0,1.0,29.803,1
12551,0.0,0.0,0.0,0.0,0
45787,0.0,0.0,0.0,0.0,0
39340,0.0,0.0,0.0,0.0,0
28009,2.0,2.0,3.0,22.741,1
9032,2.0,3.0,4.0,18.962,1
60874,3.0,4.0,3.0,14.839,1
35906,0.0,0.0,0.0,0.0,0
42926,3.0,3.0,3.0,12.773,1
26474,0.0,0.0,0.0,0.0,0
57224,0.0,0.0,0.0,0.0,0
34498,4.0,3.0,3.0,12.099,1
48516,5.0,4.0,2.0,56.865,1
13433,0.0,0.0,0.0,0.0,0
13425,0.0,0.0,0.0,0.0,0
11487,0.0,0.0,0.0,0.0,0
1050,3.0,3.0,3.0,22.764,1
37490,0.0,0.0,0.0,0.0,0
56330,2.0,4.0,3.0,48.837,1
21157,0.0,0.0,0.0,0.0,0
19041,4.0,4.0,3.0,25.948,1
4968,0.0,0.0,0.0,0.0,0
19970,3.0,3.0,3.0,10.983,1
32820,3.0,3.0,4.0,18.327,1
63362,4.0,4.0,3.0,22.276,1
50449,0.0,0.0,0.0,0.0,0
53256,0.0,0.0,0.0,0.0,0
40107,0.0,0.0,0.0,0.0,0
14784,0.0,0.0,0.0,0.0,0
3592,0.0,0.0,0.0,0.0,0
10712,0.0,0.0,0.0,0.0,0
12958,0.0,0.0,0.0,0.0,0
2743,3.0,3.0,3.0,23.091,1
47850,0.0,0.0,0.0,0.0,0
55032,0.0,0.0,0.0,0.0,0
7136,0.0,0.0,0.0,0.0,0
9243,0.0,0.0,0.0,0.0,0
8572,0.0,0.0,0.0,0.0,0
50519,0.0,0.0,0.0,0.0,0
48753,4.0,5.0,5.0,31.351,1
50957,2.0,1.5,4.0,44.6035,2
20220,3.0,3.0,2.0,47.901,1
64255,0.0,0.0,0.0,0.0,0
33719,0.0,0.0,0.0,0.0,0
24722,0.0,0.0,0.0,0.0,0
65106,2.0,4.0,3.0,26.237,1
3449,3.0,4.5,4.5,86.6815,2
27979,0.0,0.0,0.0,0.0,0
22140,0.0,0.0,0.0,0.0,0
17984,3.5,3.0,2.0,32.344,2
32976,0.0,0.0,0.0,0.0,0
31387,5.0,4.0,5.0,55.562,1
32703,4.0,3.0,2.0,53.893,1
21390,0.0,0.0,0.0,0.0,0
34762,0.0,0.0,0.0,0.0,0
5873,2.0,4.0,5.0,69.659,1
7909,0.0,0.0,0.0,0.0,0
109,0.0,0.0,0.0,0.0,0
24310,3.0,1.0,1.0,35.718,1
31847,0.0,0.0,0.0,0.0,0
54,0.0,0.0,0.0,0.0,0
66769,4.0,3.0,3.0,5.787,1
63671,5.0,5.0,2.0,17.128,1
32688,0.0,0.0,0.0,0.0,0
443,2.0,3.0,4.0,39.727,1
59798,0.0,0.0,0.0,0.0,0
66105,3.0,3.0,3.0,24.938,1
34041,2.0,3.0,2.0,20.334,1
55910,5.0,5.0,5.0,6.202,1
32320,0.0,0.0,0.0,0.0,0
61810,4.5,5.0,2.0,17.162,2
31696,1.0,5.0,5.0,23.297,1
26622,4.0,1.0,1.0,45.067,1
9644,0.0,0.0,0.0,0.0,0
8617,2.0,3.0,2.0,15.629,1
36375,0.0,0.0,0.0,0.0,0
20578,0.0,0.0,0.0,0.0,0
53022,0.0,0.0,0.0,0.0,0
34671,5.0,4.0,4.0,13.583,1
65459,3.0,3.0,3.0,50.331,1
52898,5.0,5.0,5.0,5.421,1
59208,0.0,0.0,0.0,0.0,0
61733,0.0,0.0,0.0,0.0,0
51565,0.0,0.0,0.0,0.0,0
15221,0.0,0.0,0.0,0.0,0
47272,0.0,0.0,0.0,0.0,0
16964,0.0,0.0,0.0,0.0,0
26087,2.5,2.5,2.0,56.892,2
46009,2.0,3.0,3.0,43.705,1
33142,0.0,0.0,0.0,0.0,0
53126,0.0,0.0,0.0,0.0,0
37050,0.0,0.0,0.0,0.0,0
18321,4.0,4.0,3.0,45.367,1
3631,3.0,4.0,2.0,20.748,1
61950,3.0,1.0,1.0,22.315,1
55524,0.0,0.0,0.0,0.0,0
61834,2.0,5.0,3.0,32.809,1
33926,0.0,0.0,0.0,0.0,0
3589,3.0,2.0,4.0,13.714,1
28254,2.5,3.0,4.0,28.898,2
28144,0.0,0.0,0.0,0.0,0
12682,0.0,0.0,0.0,0.0,0
51687,0.0,0.0,0.0,0.0,0
580,2.0,4.0,5.0,54.211,1
42366,0.0,0.0,0.0,0.0,0
35854,4.0,2.0,3.0,60.854,1
42805,0.0,0.0,0.0,0.0,0
3543,4.0,3.0,2.0,7.692,1
32978,3.0,3.0,1.0,36.743,1
66642,2.0,2.0,3.0,20.748,1
64241,4.0,3.0,2.0,22.196,1
20155,3.0,3.0,1.0,81.868,1
7256,0.0,0.0,0.0,0.0,0
42444,0.0,0.0,0.0,0.0,0
66491,0.0,0.0,0.0,0.0,0
35708,0.0,0.0,0.0,0.0,0
721,0.0,0.0,0.0,0.0,0
1317,0.0,0.0,0.0,0.0,0
34609,2.0,3.5,2.5,25.7945,2
5506,3.0,4.0,3.0,77.212,1
37851,0.0,0.0,0.0,0.0,0
50520,0.0,0.0,0.0,0.0,0
42700,2.0,3.0,2.0,10.7,1
44962,0.0,0.0,0.0,0.0,0
26698,0.0,0.0,0.0,0.0,0
7617,4.0,1.0,3.0,27.282,1
24104,3.0,3.0,3.0,15.237,1
45897,0.0,0.0,0.0,0.0,0
60381,0.0,0.0,0.0,0.0,0
32089,0.0,0.0,0.0,0.0,0
9015,0.0,0.0,0.0,0.0,0
42611,0.0,0.0,0.0,0.0,0
54786,0.0,0.0,0.0,0.0,0
44575,3.0,3.0,1.0,25.946,1
56481,2.0,2.0,3.0,33.137,1
26149,2.0,4.0,3.0,59.466,1
50514,0.0,0.0,0.0,0.0,0
61843,0.0,0.0,0.0,0.0,0
37320,0.0,0.0,0.0,0.0,0
43355,0.0,0.0,0.0,0.0,0
7498,0.0,0.0,0.0,0.0,0
32129,0.0,0.0,0.0,0.0,0
42974,0.0,0.0,0.0,0.0,0
34173,0.0,0.0,0.0,0.0,0
57694,0.0,0.0,0.0,0.0,0
12978,0.0,0.0,0.0,0.0,0
6527,2.0,3.0,4.0,24.069,1
2590,4.0,3.0,3.0,57.362,1
42173,2.5,2.5,3.0,74.6655,2
47374,2.0,4.0,5.0,33.061,1
56069,0.0,0.0,0.0,0.0,0
62671,4.0,3.0,1.0,85.841,1
40971,0.0,0.0,0.0,0.0,0
35109,3.0,4.0,1.0,63.64,1
40541,1.0,2.0,4.0,41.469,1
8138,2.0,4.0,2.0,23.665,1
26894,0.0,0.0,0.0,0.0,0
6043,2.0,3.0,1.0,39.95,1
2224,0.0,0.0,0.0,0.0,0
18572,0.0,0.0,0.0,0.0,0
54847,0.0,0.0,0.0,0.0,0
28188,0.0,0.0,0.0,0.0,0
66032,0.0,0.0,0.0,0.0,0
64957,0.0,0.0,0.0,0.0,0
15197,3.0,1.0,1.0,35.955,1
1609,3.0,3.0,3.0,11.606,1
12539,1.5,3.0,4.0,24.0365,2
56698,0.0,0.0,0.0,0.0,0
22276,2.5,3.0,4.0,23.8725,2
54938,0.0,0.0,0.0,0.0,0
56780,3.0,3.0,3.0,49.271,1
12685,0.0,0.0,0.0,0.0,0
54543,2.0,5.0,2.0,15.763,1
24484,4.0,3.0,3.0,9.945,1
66735,4.0,5.0,5.0,12.685,1
46836,0.0,0.0,0.0,0.0,0
51280,3.0,3.0,3.0,4.395,1
1558,1.0,3.0,1.5,11.831,2
40995,3.0,3.0,2.0,24.6805,2
8078,2.0,1.0,1.0,61.892,1
40983,5.0,5.0,5.0,15.424,1
4671,4.0,4.0,1.0,21.929,1
60010,5.0,4.0,1.0,20.563,1
44377,3.0,1.0,3.0,185.929,1
35530,2.0,2.0,3.0,66.423,1
65922,3.0,3.0,3.0,21.024,1
9038,0.0,0.0,0.0,0.0,0
38263,3.0,4.0,2.0,369.79,1
53282,0.0,0.0,0.0,0.0,0
26390,5.0,2.0,3.0,22.348,1
5874,0.0,0.0,0.0,0.0,0
43221,0.0,0.0,0.0,0.0,0
12349,0.0,0.0,0.0,0.0,0
45622,4.0,4.0,1.0,23.973,1
29040,0.0,0.0,0.0,0.0,0
13395,2.0,2.0,2.0,16.31,1
19582,3.0,4.0,3.0,57.943,1
41264,0.0,0.0,0.0,0.0,0
51886,0.0,0.0,0.0,0.0,0
45578,0.0,0.0,0.0,0.0,0
27096,0.0,0.0,0.0,0.0,0
5910,1.3333333333333333,4.333333333333333,2.3333333333333335,13.973999999999998,3
38976,3.0,3.0,2.0,47.22,1
878,0.0,0.0,0.0,0.0,0
6635,2.0,4.5,3.5,27.7395,2
28912,0.0,0.0,0.0,0.0,0
23836,0.0,0.0,0.0,0.0,0
55209,0.0,0.0,0.0,0.0,0
63600,3.0,1.0,1.0,38.974,1
9930,2.5,3.0,1.5,17.487,2
16325,0.0,0.0,0.0,0.0,0
19883,0.0,0.0,0.0,0.0,0
38739,5.0,5.0,1.0,10.983,1
59318,0.0,0.0,0.0,0.0,0
26493,0.0,0.0,0.0,0.0,0
34971,2.0,2.0,3.0,36.16,1
26016,0.0,0.0,0.0,0.0,0
23890,0.0,0.0,0.0,0.0,0
16617,0.0,0.0,0.0,0.0,0
51703,0.0,0.0,0.0,0.0,0
64386,5.0,5.0,2.0,38.249,1
28284,2.5,3.5,4.0,18.4215,2
63020,0.0,0.0,0.0,0.0,0
15812,0.0,0.0,0.0,0.0,0
50166,4.0,3.0,3.0,49.783,1
4655,1.0,5.0,4.0,22.881,1
34411,2.0,3.0,2.0,26.655,1
58660,0.0,0.0,0.0,0.0,0
7689,0.0,0.0,0.0,0.0,0
65335,0.0,0.0,0.0,0.0,0
